index	P(0)	P(1)	P(2)	Pw	N(0)	N(1)	N(2)	Cd(0)	Cd(1)	Cd(2)	Cd(3)
0	0	1.55101	0.051302	1	0	0.164247	0.986419	0.406801	0.264225	0.182352	1
1	0	1.56417	0.0491105	1	-3.58237e-09	0.00641459	0.999979	0.423634	0.277447	0.189351	1
2	0	1.57288	0.0504573	1	0	-0.153853	0.988094	0.427267	0.28394	0.203301	1
3	0	1.58356	0.0521312	1	1.18723e-09	-0.21434	0.976759	0.445698	0.291232	0.205971	1
4	0	1.5912	0.0542556	1	0	-0.344625	0.938741	0.422843	0.275667	0.195414	1
5	0	1.60127	0.0589962	1	0	-0.367254	0.930121	0.434903	0.284597	0.205691	1
6	0	1.61073	0.0619946	1	0	-0.174777	0.984608	0.46256	0.310791	0.230992	1
7	0	1.62126	0.0622902	1	-2.42348e-09	-0.277003	0.960869	0.420591	0.276269	0.201266	1
8	0	1.62752	-0.0674179	1	0	0.350864	-0.936427	0.44276	0.295599	0.182945	1
9	0	1.62732	0.0658748	1	0	-0.721799	0.692103	0.427197	0.300337	0.223514	1
10	0	1.63028	0.071206	1	0	-0.966728	0.255805	0.419946	0.293057	0.215003	1
11	0	1.63018	0.0986974	1	5.97715e-10	-0.997576	0.0695824	0.419525	0.272947	0.203439	1
12	0	1.63076	0.0834679	1	-2.37808e-09	-0.999996	-0.00277428	0.409565	0.26451	0.199494	1
13	0	1.63135	0.105057	1	0	-0.928162	0.372176	0.431071	0.297496	0.219303	1
14	0	1.63424	0.109413	1	5.98984e-10	-0.741933	0.670474	0.467557	0.313911	0.230401	1
15	0	1.63905	0.113235	1	0	-0.366367	0.93047	0.488576	0.334304	0.245578	1
16	0	1.64201	-0.0619882	1	0	0.344038	-0.938956	0.492363	0.302856	0.202728	1
17	0	1.64534	0.113766	1	0	0.17661	0.984281	0.47012	0.300008	0.211595	1
18	0	1.65152	0.110925	1	-1.20324e-09	0.279458	0.960158	0.433724	0.263268	0.17878	1
19	0	1.65778	0.110038	1	0	-0.136397	0.990654	0.406801	0.223744	0.153272	1
20	0	1.66058	-0.0553437	1	-2.38562e-09	0.210649	-0.977562	0.478494	0.302657	0.209678	1
21	0	1.66097	0.111382	1	0	-0.600037	0.799972	0.409446	0.229747	0.153955	1
22	0	1.66442	0.115661	1	0	-0.687269	0.726403	0.450592	0.266824	0.189275	1
23	0	1.66557	0.116524	1	0	-0.304903	0.952383	0.455675	0.27181	0.19245	1
24	0	1.66899	0.116465	1	0	0.182048	0.98329	0.406721	0.22433	0.159188	1
25	0	1.67237	0.115035	1	0.0877807	-0.995848	0.0241009	0.285766	0.103961	0.0738373	1
26	0	1.67377	0.114744	1	0.0370786	0.728284	0.684271	0.279277	0.101047	0.0706338	1
27	0	1.67453	0.112165	1	-0.00693885	0.992027	-0.125837	0.229237	0.0794118	0.0516025	1
28	0	1.67533	0.118853	1	0.15705	-0.560138	0.813376	0.39696	0.191251	0.144078	1
29	0	1.67993	0.120251	1	0	-0.0846916	0.996407	0.483643	0.315982	0.229743	1
30	0	1.68117	0.120025	1	0	0.302095	0.953278	0.457739	0.275896	0.200048	1
31	0	1.68439	0.118416	1	-2.38865e-09	0.312471	0.949927	0.442163	0.271279	0.192154	1
32	0	1.68488	-0.053561	1	0	-0.0209427	-0.999781	0.479733	0.312222	0.210619	1
33	0	1.68805	0.117849	1	2.44708e-09	-0.151144	0.988512	0.442163	0.276291	0.192582	1
34	0	1.68983	0.118761	1	0	-0.524674	0.851303	0.442163	0.279448	0.209508	1
35	0	1.69151	0.120061	1	0	-0.844929	0.534878	0.427366	0.265827	0.198182	1
36	0	1.69242	0.123782	1	0	-0.952871	0.303375	0.413356	0.252982	0.187378	1
37	0	1.69465	0.129739	1	-5.06113e-09	-0.889647	0.456648	0.383004	0.225568	0.161078	1
38	0	1.69639	0.132608	1	-4.89935e-09	-0.834403	0.551154	0.383004	0.225568	0.161078	1
39	0	1.69822	0.135215	1	0	-0.704656	0.709549	0.536081	0.327917	0.231417	1
40	0	1.70119	0.137268	1	0	-0.382079	0.924129	0.558803	0.343206	0.241904	1
41	0	1.70487	0.137863	1	5.26647e-09	0.0708797	0.997485	0.542673	0.351161	0.240639	1
42	0	1.70335	-0.0557489	1	-2.38202e-09	-0.235845	-0.971791	0.478494	0.31049	0.226628	1
43	0	1.70896	0.136619	1	-5.24228e-09	0.4962	0.868208	0.505628	0.298025	0.205447	1
44	0	1.71269	0.132989	1	-4.78644e-09	0.619886	0.784692	0.480193	0.271256	0.197019	1
45	0	1.71503	-0.0600435	1	2.38635e-09	-0.345526	-0.938409	0.485763	0.315063	0.209678	1
46	0	1.72	0.128388	1	0	0.497563	0.867428	0.482616	0.277586	0.20447	1
47	0	1.72529	0.125663	1	0	0.485839	0.874048	0.478955	0.274864	0.210028	1
48	0	1.73247	0.121338	1	0	0.474035	0.880506	0.493576	0.302358	0.221177	1
49	0	1.73042	-0.0657156	1	0	-0.288964	-0.95734	0.457665	0.302615	0.209678	1
50	0	1.73854	0.118437	1	-2.39422e-09	0.267599	0.96353	0.508725	0.320143	0.222348	1
51	0	1.74276	0.118053	1	-2.39315e-09	-0.0877321	0.996144	0.507431	0.325792	0.238943	1
52	0	1.7464	0.119003	1	0	-0.245157	0.969483	0.472391	0.296123	0.210275	1
53	0	1.74663	-0.0696053	1	2.43447e-09	-0.114394	-0.993436	0.46685	0.316622	0.222696	1
54	0	1.75053	0.120013	1	0	-0.0962996	0.995352	0.464912	0.302329	0.213241	1
55	0	1.75565	0.119825	1	0	0.0672767	0.997734	0.48343	0.325381	0.228546	1
56	0	1.76158	0.119254	1	0	0.0566537	0.998394	0.4877	0.334677	0.237082	1
57	0	1.76874	-0.0693623	1	0	0.143477	-0.989654	0.484625	0.335971	0.243113	1
58	0	1.77259	0.119041	1	0	0.129236	0.991614	0.494525	0.315242	0.200243	1
59	0	1.7853	0.116356	1	0	0.306785	0.951779	0.478494	0.299738	0.213918	1
60	0	1.78633	-0.0642573	1	0	0.350941	-0.936398	0.472018	0.330045	0.235726	1
61	0	1.79781	0.110801	1	0	0.433999	0.900913	0.506363	0.338763	0.245578	1
62	0	1.80082	-0.0574505	1	0	0.515549	-0.85686	0.478494	0.324624	0.241904	1
63	0	1.80895	0.104965	1	0	0.576827	0.816866	0.52132	0.345365	0.243505	1
64	0	1.81434	-0.0469974	1	0	0.654031	-0.756468	0.478494	0.328312	0.209678	1
65	0	1.81998	0.0943216	1	0	0.75891	0.651196	0.535059	0.374159	0.264653	1
66	0	1.827	-0.0345995	1	0	0.765988	-0.642854	0.492363	0.318794	0.230992	1
67	0	1.83088	0.0784059	1	0	0.893417	0.449229	0.506028	0.363082	0.253479	1
68	0	1.83669	0.0617501	1	0	0.958432	0.285322	0.578371	0.413681	0.310725	1
69	0	1.83697	-0.0195276	1	0	0.903617	-0.428342	0.490173	0.33763	0.242743	1
70	0	1.84105	0.0443256	1	0	0.98456	0.175049	0.528307	0.384952	0.257152	1
71	0	1.84215	-0.00259198	1	1.20106e-09	0.981407	-0.191937	0.520494	0.341985	0.218933	1
72	0	1.84299	0.0259313	1	0	0.997883	0.0650393	0.513428	0.3538	0.236439	1
73	0	1.84337	0.0104542	1	2.39331e-09	0.999415	-0.0342009	0.512839	0.357213	0.240515	1
74	0.00186086	1.68817	0.117586	1	0.0587486	-0.137216	0.988797	0.442163	0.275308	0.182352	1
75	0.00194947	1.69481	0.128755	1	0.512546	-0.809585	0.286127	0.397268	0.234415	0.169156	1
76	0.00230394	1.69279	0.123016	1	0.496983	-0.816345	0.29426	0.433972	0.271048	0.203304	1
77	0.00239247	1.67365	0.114724	1	0.0337241	0.717278	0.69597	0.245476	0.0820655	0.0569847	1
78	0.00239247	1.6965	0.13175	1	0.398406	-0.797003	0.453937	0.468376	0.281498	0.200184	1
79	0.00239247	1.72008	0.128151	1	0.329371	0.448735	0.830754	0.470584	0.26631	0.194865	1
80	0.00248109	1.68453	0.118102	1	-0.0650098	0.313661	0.947307	0.442163	0.271944	0.182352	1
81	0.00248109	1.71248	0.1326	1	0.379289	0.561347	0.735547	0.480856	0.281087	0.20487	1
82	0.00248109	1.73851	0.118135	1	0.327892	0.259468	0.908385	0.519154	0.325335	0.240348	1
83	0.00256971	1.69204	0.11956	1	0.409446	-0.707542	0.575967	0.440979	0.278247	0.208755	1
84	0.00265832	1.66894	0.116453	1	0.0449652	0.182072	0.982256	0.390091	0.210166	0.150026	1
85	0.00265832	1.72537	0.125426	1	0.304059	0.461685	0.833304	0.484842	0.274538	0.214508	1
86	0.00265832	1.73235	0.12118	1	0.31158	0.457803	0.832667	0.508676	0.313413	0.232773	1
87	0.00274694	1.66552	0.116484	1	0.0251244	-0.280886	0.959412	0.443353	0.259745	0.184763	1
88	0.00283556	1.67262	0.114727	1	0.122468	-0.99184	0.0354231	0.324779	0.109958	0.0882075	1
89	0.00283556	1.74265	0.117761	1	0.213337	-0.228406	0.949904	0.520494	0.326865	0.241904	1
