index	P(0)	P(1)	P(2)	Pw	Cd0(0)	Cd0(1)	Cd0(2)	N(0)	N(1)	N(2)	Cd(0)	Cd(1)	Cd(2)	Cd(3)
0	0.100284	1.25676	0.0907068	1	0.417885	0.295477	0.198069	0.610849	0.296419	0.734166	0.58	0.403061	0.33872	1
1	0.0946686	1.26431	0.091557	1	0.421796	0.297368	0.198069	0.478428	0.39146	0.786044	0.58	0.403061	0.33872	1
2	0.0861232	1.2687	0.0931694	1	0.44942	0.311044	0.198069	0.368878	0.452369	0.811967	0.58	0.403061	0.33872	1
3	0.0775122	1.2709	0.0957136	1	0.440262	0.301516	0.198069	0.271676	0.471408	0.839027	0.58	0.403061	0.33872	1
4	0.0692273	1.26838	0.0990876	1	0.462077	0.313511	0.198069	0.125058	0.475087	0.871006	0.58	0.403061	0.33872	1
5	0.0632604	1.26318	0.10224	1	0.462077	0.317979	0.198069	0.0226781	0.43949	0.897961	0.58	0.403061	0.33872	1
6	0.0591432	1.25703	0.104951	1	0.462077	0.301659	0.198069	-0.0244738	0.394388	0.918618	0.58	0.403061	0.33872	1
7	0.0569951	1.25081	0.107482	1	0.462077	0.292559	0.198069	-0.0192725	0.362049	0.93196	0.58	0.403061	0.33872	1
8	0.056085	1.24473	0.109871	1	0.44877	0.293685	0.198069	0.00507557	0.309574	0.950862	0.58	0.403061	0.33872	1
9	0.0575864	1.23804	0.111757	1	0.433983	0.293229	0.181076	0.0330173	0.199994	0.979241	0.58	0.403061	0.33872	1
10	0.0622661	1.23104	0.112389	1	0.445201	0.300544	0.187821	0.0813737	0.0601473	0.994867	0.58	0.403061	0.33872	1
11	0.0687663	1.22552	0.11147	1	0.462077	0.323613	0.214613	0.181791	-0.0907917	0.979137	0.58	0.403061	0.33872	1
12	0.0762972	1.22227	0.108751	1	0.487266	0.349727	0.246355	0.313252	-0.205735	0.927117	0.58	0.403061	0.33872	1
13	0.0840654	1.22162	0.105171	1	0.508881	0.365175	0.262251	0.424338	-0.23475	0.874545	0.58	0.403061	0.33872	1
14	0.0917799	1.22371	0.101303	1	0.520277	0.373963	0.270017	0.514078	-0.19935	0.834256	0.58	0.403061	0.33872	1
15	0.0985288	1.2289	0.0975712	1	0.46989	0.329496	0.23597	0.597221	-0.104093	0.795293	0.58	0.403061	0.33872	1
16	0.10296	1.23724	0.0941561	1	0.472932	0.343711	0.238022	0.667449	0.0553416	0.742596	0.58	0.403061	0.33872	1
17	0.103631	1.24764	0.0913892	1	0.445201	0.309469	0.198069	0.67358	0.20668	0.709629	0.58	0.403061	0.33872	1
18	0.0872839	1.24768	0.104507	1	0.417885	0.295477	0.198069	0.381397	0.328362	0.864126	0.58	0.403061	0.33872	1
19	0.0884063	1.24564	0.104733	1	0.445201	0.309469	0.198069	0.446834	0.256402	0.857087	0.58	0.403061	0.33872	1
20	0.088671	1.24339	0.105244	1	0.472932	0.343711	0.238022	0.419039	0.198177	0.886077	0.58	0.403061	0.33872	1
21	0.0880468	1.2412	0.105945	1	0.46989	0.329496	0.23597	0.449215	0.150813	0.880603	0.58	0.403061	0.33872	1
22	0.0867682	1.23943	0.106776	1	0.46989	0.329496	0.23597	0.44041	0.099807	0.892232	0.58	0.403061	0.33872	1
23	0.0848484	1.23826	0.107686	1	0.520277	0.373963	0.270017	0.398513	0.0668796	0.914721	0.58	0.403061	0.33872	1
24	0.0827602	1.23799	0.108567	1	0.487266	0.349727	0.246355	0.337813	0.0663843	0.938869	0.58	0.403061	0.33872	1
25	0.0805953	1.23857	0.109215	1	0.462077	0.323613	0.214613	0.263739	0.0968024	0.959724	0.58	0.403061	0.33872	1
26	0.0786786	1.23983	0.109508	1	0.462077	0.323613	0.214613	0.199373	0.133855	0.970739	0.58	0.403061	0.33872	1
27	0.0773348	1.24158	0.109513	1	0.462077	0.31431	0.205335	0.13231	0.148615	0.980004	0.58	0.403061	0.33872	1
28	0.0765527	1.24353	0.109282	1	0.44877	0.293685	0.198069	0.119072	0.197209	0.973104	0.58	0.403061	0.33872	1
